filename, Anda -BISINDO-, Apa -BISINDO-, Berhenti -BISINDO-, Bodoh -BISINDO-, Cantik -BISINDO-, Halo -BISINDO-, Hati-hati -BISINDO-, Lelah -BISINDO-, Maaf -BISINDO-, Makan -BISINDO-, Mau-Ingin -BISINDO-, Membaca -BISINDO-, Nama -BISINDO-, Sama-sama -BISINDO-, Saya -BISINDO-, Siapa -BISINDO-, Sombong -BISINDO-, Takut -BISINDO-, Terima kasih -BISINDO-
Dataset_mp4-1015_jpg.rf.b2832290805a4e5bef168ae2cddd54fa.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Dataset-2_mp4-119_jpg.rf.b29f3146661a1e82646a07d3f226b32c.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-29_jpg.rf.b28b03ceb3107c67180a06ef58f9a248.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Dataset_mp4-818_jpg.rf.b2f0c0ee54f707d7c91453406d4dee71.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Dataset-2_mp4-123_jpg.rf.b2d3b14dade50e30c7af3c0d78bf7398.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset-2_mp4-701_jpg.rf.b2c3f83f99dc0a41839034a7c52bef81.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-643_jpg.rf.b3e86ed91d45441210b21dead49564f8.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset-2_mp4-811_jpg.rf.b2f61f19ed455153e74278f9bd1c4eef.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-792_jpg.rf.b3feba57ea32b8110023e0c4e83e815d.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Dataset_mp4-320_jpg.rf.b30a5db8ae9e281ba777ab3dff0a6ede.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset-2_mp4-496_jpg.rf.b4316531bfc57245ee61df2eb89d5e15.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Dataset-2_mp4-893_jpg.rf.b378a6df07ccd7dc75856fcd4395cdda.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Dataset-2_mp4-18_jpg.rf.b2c38ca8678ba447819f4f8c299231d0.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-738_jpg.rf.b48d75f1af07d19e7353211495f2aefa.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Dataset_mp4-816_jpg.rf.b4143371238fa15cd391c85aea162fd3.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Dataset_mp4-504_jpg.rf.b4ac91ea23aaab0442438c7a39ca009a.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-1000_jpg.rf.b4ae13e5d8d1118e9ba6ac1eaab4fbdf.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-209_jpg.rf.b4e63e71be9ed4289c0dc2f7601924b9.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Dataset_mp4-1012_jpg.rf.b36a6f1d9f1e469fbdf35baa3204bc85.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-930_jpg.rf.b33b96b47f396955316baf0cc6c07e28.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-995_jpg.rf.b4a3b36fc6f2db1805e4895a1962f48b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-395_jpg.rf.b466b14452fc3734242a2d84d0ab8127.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-434_jpg.rf.b42817f13af6954e5eb131dab05ea573.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Dataset-2_mp4-75_jpg.rf.b4a4f36c045f59494deab4b6ae6ecf22.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset-2_mp4-392_jpg.rf.b4e3843526d8cd5a01f3bcbd00a5d8a0.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-94_jpg.rf.b617b65b2ca07ee192ac22bce32152c8.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-240_jpg.rf.b5bfd6613dac0a2ecb7e10a8e3dc87ab.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Dataset_mp4-352_jpg.rf.b50f34120e381f3d5b01a8d167414873.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-619_jpg.rf.b590380f721f6270b05b3f8f19503781.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-340_jpg.rf.b5b039636c795a6a3ec0774f1937eba6.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset-2_mp4-709_jpg.rf.b76aa383c606472b6087cd9dc9a8ca74.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-391_jpg.rf.b6fca46c3a70301b34bee38b5e1b6931.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-489_jpg.rf.b50121b103149d8419dc18dd4466cd5b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-96_jpg.rf.b6551f78d580a4d7c88f0b626d61b61f.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-966_jpg.rf.b6d78ae138b1d5c06d8088cd0833b856.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Dataset-2_mp4-919_jpg.rf.b575f5189da8d82cfa82ef1813f0ca85.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Dataset_mp4-623_jpg.rf.b5b10f2908a27f7aa569b0f5c5165e06.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-255_jpg.rf.b757f7e6c89acc6ee4f48bebbcd97588.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset-2_mp4-729_jpg.rf.b768a71e951512d0fec5b98dd0705536.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-1112_jpg.rf.b744492da577c8ab076ed636b4fca7bb.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Dataset_mp4-828_jpg.rf.b6a840a72d90e7e12e1fb2fac03bac1d.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Dataset_mp4-1019_jpg.rf.b64d7e6e7f868248670df6d04de0a04b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Dataset_mp4-737_jpg.rf.b756d3ed62d17262cb756555b21b883b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
